USER;ID; %CPU ;%MEM;VSZ; RSS TTY;STAT START; TIME;  COMMAND
rafaelr+;3519;0.0;0.3 229704 26376 ?;Ssl;nov02; 0:05;\_ /usr/bin/kglobalaccel5
rafaelr+;7167;0.0;0.0 155088;5100 ?;Ssl;11:07; 0:00;\_ /usr/lib/dconf-service
rafaelr+;7256;0.0;0.9 500260 75060 ?;Ssl;11:08; 0:03;\_ /usr/bin/python /usr/bin/blueman-applet
rafaelr+;7266;0.0;0.7 475516 56388 ?;Sl; 11:08; 0:10;\_ /usr/bin/python /usr/bin/blueman-tray
rafaelr+;7267;0.0;0.0;48760;7224 ?;Ss; 11:08; 0:00;\_ /usr/lib/bluetooth/obexd
rafaelr+; 10131;0.0;0.3 232192 30812 ?;Sl; 13:11; 0:01;\_ /usr/bin/kded5
rafaelr+; 485;0.0;0.2;84144 20412 ?;S;nov01; 0:00 /usr/bin/kwalletd5 --pam-login 6 8
rafaelr+; 507;0.2;0.8 606124 65892 ?;Sl; nov01; 5:37 picom --experimental-backends
rtkit;559;0.0;0.0;88308;1544 ?;SNsl nov01; 0:00 /usr/lib/rtkit-daemon
rafaelr+; 583;0.0;0.0; 8072;3416 ?;S;nov01; 0:00 /usr/bin/zsh
rafaelr+; 588;1.6;9.1 13748664 736416 ?; Sl; nov01;40:28;\_ /usr/lib/firefox/firefox
rafaelr+; 662;0.0;0.8 257724 66180 ?;Sl; nov01; 0:00;\_ /usr/lib/firefox/firefox -contentproc -parentBuildID 20221025212237 -prefsLen 25927 -prefMapSize 228217 -appDir /usr/lib/firefox/browser {f2dda1f7-463a-45d3-99a8-9353c26dd99f} 588 true socket
rafaelr+; 691;0.0;1.6 2498796 131088 ?;Sl; nov01; 0:16;\_ /usr/lib/firefox/firefox -contentproc -childID 1 -isForBrowser -prefsLen 26003 -prefMapSize 228217 -jsInitLen 246704 -parentBuildID 20221025212237 -appDir /usr/lib/firefox/browser {aa218279-afa2-4da4-b989-1487c100332a} 588 true tab
rafaelr+; 752;0.0;2.3 19589680 186880 ?; Sl; nov01; 2:05;\_ /usr/lib/firefox/firefox -contentproc -childID 3 -isForBrowser -prefsLen 31430 -prefMapSize 228217 -jsInitLen 246704 -parentBuildID 20221025212237 -appDir /usr/lib/firefox/browser {bbc09fbc-4fea-4710-a901-dafbe3cdaffb} 588 true tab
rafaelr+; 856;0.0;2.1 2585496 175500 ?;Sl; nov01; 0:16;\_ /usr/lib/firefox/firefox -contentproc -childID 6 -isForBrowser -prefsLen 31546 -prefMapSize 228217 -jsInitLen 246704 -parentBuildID 20221025212237 -appDir /usr/lib/firefox/browser {665bcabf-c813-494f-a41d-b675195712bd} 588 true tab
rafaelr+;1211;0.0;1.2 567560 101724 ?; Sl; nov01; 1:35;\_ /usr/lib/firefox/firefox -contentproc -parentBuildID 20221025212237 -prefsLen 31650 -prefMapSize 228217 -appDir /usr/lib/firefox/browser {152215df-3979-45d7-8a59-af95aeb8c70e} 588 true rdd
rafaelr+;1213;0.0;1.0 477088 87296 ?;Sl; nov01; 0:23;\_ /usr/lib/firefox/firefox -contentproc -parentBuildID 20221025212237 -sandboxingKind 1 -prefsLen 31650 -prefMapSize 228217 -appDir /usr/lib/firefox/browser {82ccd492-7ef3-496a-8af8-69bb24e2e5e7} 588 true utility
rafaelr+;1456;0.1;4.6 3091408 370968 ?;Sl; nov01; 2:25;\_ /usr/lib/firefox/firefox -contentproc -childID 15 -isForBrowser -prefsLen 31650 -prefMapSize 228217 -jsInitLen 246704 -parentBuildID 20221025212237 -appDir /usr/lib/firefox/browser {34e5fe0f-3e55-4811-87fd-e13c3698476d} 588 true tab
rafaelr+;3439;0.0;2.0 2521988 165532 ?;Sl; nov02; 1:05;\_ /usr/lib/firefox/firefox -contentproc -childID 27 -isForBrowser -prefsLen 31650 -prefMapSize 228217 -jsInitLen 246704 -parentBuildID 20221025212237 -appDir /usr/lib/firefox/browser {00f8efa8-e290-4408-9c30-a62045335e58} 588 true tab
rafaelr+;3569;0.0;6.3 3224056 507472 ?;Sl; nov02; 1:52;\_ /usr/lib/firefox/firefox -contentproc -childID 28 -isForBrowser -prefsLen 31731 -prefMapSize 228217 -jsInitLen 246704 -parentBuildID 20221025212237 -appDir /usr/lib/firefox/browser {783ba375-06c7-4d8c-93ab-7af9698e80c9} 588 true tab
rafaelr+;7535;0.1;2.1 2592948 173616 ?;Sl; 12:40; 0:20;\_ /usr/lib/firefox/firefox -contentproc -childID 75 -isForBrowser -prefsLen 31731 -prefMapSize 228217 -jsInitLen 246704 -parentBuildID 20221025212237 -appDir /usr/lib/firefox/browser {e0e9a37c-12bb-450f-b4d4-07418697ead5} 588 true tab
rafaelr+;9585;1.8;3.5 2903780 288828 ?;Sl; 13:01; 3:18;\_ /usr/lib/firefox/firefox -contentproc -childID 77 -isForBrowser -prefsLen 31732 -prefMapSize 228217 -jsInitLen 246704 -parentBuildID 20221025212237 -appDir /usr/lib/firefox/browser {ca6a7c4d-643c-48c9-8ee5-99709edf765e} 588 true tab
rafaelr+;9727;0.0;1.3 2466120 106976 ?;Sl; 13:03; 0:02;\_ /usr/lib/firefox/firefox -contentproc -childID 79 -isForBrowser -prefsLen 31732 -prefMapSize 228217 -jsInitLen 246704 -parentBuildID 20221025212237 -appDir /usr/lib/firefox/browser {24ea075f-7a01-4708-be3c-1932c8c3d210} 588 true tab
rafaelr+;9762;0.0;1.4 2468880 117856 ?;Sl; 13:03; 0:02;\_ /usr/lib/firefox/firefox -contentproc -childID 80 -isForBrowser -prefsLen 31732 -prefMapSize 228217 -jsInitLen 246704 -parentBuildID 20221025212237 -appDir /usr/lib/firefox/browser {1108a598-0441-4979-973d-203d83682c8e} 588 true tab
rafaelr+;9835;0.0;2.0 2547004 161764 ?;Sl; 13:03; 0:06;\_ /usr/lib/firefox/firefox -contentproc -childID 81 -isForBrowser -prefsLen 31732 -prefMapSize 228217 -jsInitLen 246704 -parentBuildID 20221025212237 -appDir /usr/lib/firefox/browser {45bb2d84-387b-4079-b11e-3cf2fdc92f4a} 588 true tab
rafaelr+; 10546;0.2;1.6 2504480 135848 ?;Sl; 13:22; 0:25;\_ /usr/lib/firefox/firefox -contentproc -childID 89 -isForBrowser -prefsLen 31732 -prefMapSize 228217 -jsInitLen 246704 -parentBuildID 20221025212237 -appDir /usr/lib/firefox/browser {ca7be6f0-36d9-4f40-a0b2-dc58cdb8f7c8} 588 true tab
rafaelr+; 11975;0.4;3.2 2776708 265368 ?;Sl; 13:53; 0:30;\_ /usr/lib/firefox/firefox -contentproc -childID 102 -isForBrowser -prefsLen 31981 -prefMapSize 228217 -jsInitLen 246704 -parentBuildID 20221025212237 -appDir /usr/lib/firefox/browser {797b0f97-d215-4793-bb9e-4465bb7bc8a1} 588 true tab
rafaelr+; 12732;0.7;3.8 2955092 313112 ?;Sl; 14:11; 0:49;\_ /usr/lib/firefox/firefox -contentproc -childID 107 -isForBrowser -prefsLen 31981 -prefMapSize 228217 -jsInitLen 246704 -parentBuildID 20221025212237 -appDir /usr/lib/firefox/browser {2c20fe16-49c7-40eb-b256-97bc248b17ef} 588 true tab
