,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed"
09/15/2022 13:43:15,0,0.78125,0.78125,6.25,1.953125,37,37,37,35,41,1310.40173,1310.40173,1411.20178,1310.40173,3.36128139,0.290455252,0.02385024,0,100.800133
09/15/2022 13:43:16,0.7692337,0.7692337,0,6.153846,1.9230783,37,37,37,36,41,1310.40149,1310.40149,1411.20166,1310.40149,3.09934759,0.311254948,0.0266416166,0,100.800117
09/15/2022 13:43:17,2.34375,0,0,5.46875,1.953125,37,36,37,35,41,1310.40137,1915.2019,2016.00208,1310.40137,3.30478621,0.32108143,0.0181467514,0,100.8001
09/15/2022 13:43:18,2.30768919,0.7692337,0.7692337,3.076923,1.73076987,37,36,37,35,41,1310.40161,1310.40161,1310.40161,1310.40161,2.89178014,0.3016549,0.0285203177,0,100.800125
09/15/2022 13:43:19,0.78125,0.78125,1.5625,4.6875,1.953125,37,36,37,35,40,1310.40137,1310.40137,1209.6012,1310.40137,3.445697,0.531875849,0.0190785546,0,100.8001
09/15/2022 13:43:20,0,2.30768919,0.7692337,3.8461566,1.73076987,37,36,37,35,40,1411.20178,1310.40161,1310.40161,1310.40161,3.506113,0.5057379,0.0436012,0,100.800125
09/15/2022 13:43:21,0.7692337,3.076923,0,5.384612,2.30769515,37,37,37,36,41,1310.40186,1411.2019,1310.40186,1411.2019,2.73976016,0.294151723,0.0199658647,0,100.80014
09/15/2022 13:43:22,0.78125,0,0.78125,5.46875,1.7578125,36,36,36,35,40,1310.40112,1310.40112,1310.40112,1310.40112,2.933012,0.245101392,0.0252265241,0,100.800087
09/15/2022 13:43:23,3.076923,0,0,2.30768919,1.346159,37,36,37,35,40,1310.40161,1310.40161,1310.40161,1310.40161,2.85480785,0.2967109,0.022091059,0,100.800117
09/15/2022 13:43:24,0,0.7692337,1.53846145,3.8461566,1.53846145,37,36,37,35,41,1310.40137,1310.40137,1310.40137,1512.00159,3.01336455,0.27154246,0.02167496,0,100.8001
09/15/2022 13:43:25,3.125,0.78125,1.5625,2.34375,1.953125,37,36,37,35,41,1310.40161,1310.40161,2923.20361,1713.602,3.22854042,0.416668475,0.04011821,0,100.800125
09/15/2022 13:43:26,1.5625,0.78125,1.61290169,2.34375,1.57510042,37,35,36,35,41,1411.20081,1411.20081,1411.20081,1411.20081,2.94079733,0.26734522,0.0217098836,0,100.800064
09/15/2022 13:43:27,1.53846145,1.53846145,1.49253607,3.823191,2.098173,36,36,36,34,40,1310.40222,1310.40222,1310.40222,1411.20239,2.90233874,0.317573547,0.02405319,0,100.800171
09/15/2022 13:43:28,0,0,1.57489777,2.34375,0.979661942,36,37,37,34,41,1310.40137,1310.40137,1310.40137,1310.40137,3.23950577,0.257802457,0.0136167565,0,100.80011
09/15/2022 13:43:29,1.5625,0,0,6.25,1.953125,37,36,36,34,41,1310.40173,1310.40173,1310.40173,1310.40173,2.87629,0.326749563,0.0204448029,0,100.800133
